j,k,0,1
0,0,0.999999999999988,0.999999999999998
0,1,0.0,0.0
0,2,0.0,0.0
0,3,0.0,0.0
0,4,0.0,0.0
0,5,0.0,0.0
0,6,0.0,0.0
0,7,0.0,0.0
0,8,0.0,0.0
0,9,0.0,0.0
0,10,0.0,0.0
0,11,0.0,0.0
0,12,0.0,0.0
0,13,0.0,0.0
0,14,0.0,0.0
0,15,0.0,0.0
0,16,0.0,0.0
0,17,0.0,0.0
0,18,0.0,0.0
0,19,0.0,0.0
0,20,0.0,0.0
0,21,0.0,0.0
0,22,0.0,0.0
0,23,0.0,0.0
0,24,0.0,0.0
0,25,0.0,0.0
0,26,0.0,0.0
0,27,0.0,0.0
0,28,0.0,0.0
0,29,0.0,0.0
0,30,0.0,0.0
0,31,0.0,0.0
0,32,0.0,0.0
0,33,0.0,0.0
0,34,0.0,0.0
0,35,0.0,0.0
0,36,0.0,0.0
0,37,0.0,0.0
0,38,0.0,0.0
0,39,0.0,0.0
0,40,0.0,0.0
0,41,0.0,0.0
0,42,0.0,0.0
0,43,0.0,0.0
0,44,0.0,0.0
0,45,0.0,0.0
0,46,0.0,0.0
0,47,0.0,0.0
0,48,0.0,0.0
0,49,0.0,0.0
0,50,0.0,0.0
1,0,0.9354079776795925,0.9738918007625059
1,1,0.02750725283679098,0.0036316913625042443
1,2,0.005380884228606818,0.0008111809287941001
1,3,0.0028046586011719436,0.0004410666012685251
1,4,0.0018099082775556881,0.00029242770518663814
1,5,0.0012949302041687033,0.00021427092786004638
1,6,0.0009879647607135842,0.00016706061437354628
1,7,0.000800511692022439,0.00013646440610297366
1,8,0.0006605637519487242,0.00011463763456131608
1,9,0.0005581438211291717,9.864072336700396e-05
1,10,0.0004867356373618724,8.668028769110065e-05
1,11,0.00043027280388286077,7.73750109310631e-05
1,12,0.0003806809086991952,6.991963727905581e-05
1,13,0.00035380558094895204,6.423415559198364e-05
1,14,0.0003133115094723019,5.8918371414278545e-05
1,15,0.000301133511104315,5.537019642252825e-05
1,16,0.00026904270475680596,5.1675781279985655e-05
1,17,0.00025483693133796165,4.882036716654334e-05
1,18,0.0002450251086024022,4.67790845508581e-05
1,19,0.00023306560447578504,4.472504213589699e-05
1,20,0.0002189847627584749,4.2962150910088435e-05
1,21,0.00021068963067280425,4.1634777514073884e-05
1,22,0.000203553175607878,4.051119405641004e-05
1,23,0.00019750623652054622,3.961546252551392e-05
1,24,0.00019248192976526257,3.891977096591693e-05
1,25,0.00018841562192732986,3.841175006636199e-05
1,26,0.00018524489916256763,3.808447843374989e-05
1,27,0.00018290953343796923,3.793129702097727e-05
1,28,0.0001813514460528467,3.794678297773051e-05
1,29,0.00018051466880413376,3.8160167878615476e-05
1,30,0.00018034530314314624,3.8538589570538165e-05
1,31,0.0001807914776538908,3.9102432599725064e-05
1,32,0.0001818033041657266,3.9830331462266966e-05
1,33,0.00018836356028772717,4.1050216584993946e-05
1,34,0.00019177793559492444,4.231121842222769e-05
1,35,0.00018975254172536927,4.385017359041899e-05
1,36,0.00020650453912024212,4.605662681019174e-05
1,37,0.00020439569110805196,4.8404921462894756e-05
1,38,0.00022097845887225097,5.1603458989010225e-05
1,39,0.00023222898028192352,5.544631704452607e-05
1,40,0.0002491673934106676,6.030876087177297e-05
1,41,0.00026646803997215255,6.651122330745606e-05
1,42,0.00029361833415402497,7.456120201160903e-05
1,43,0.0003265631400967132,8.544146425118721e-05
1,44,0.00037663127033026007,0.00010071829387746163
1,45,0.00044187454098932455,0.00012311895033386425
1,46,0.0005447221276012682,0.00015894165366946592
1,47,0.0007250960447781581,0.00022388243066892436
1,48,0.0011004583375839358,0.00037328588018917047
1,49,0.002753349791826171,0.0012494357824398552
1,50,0.008522751128240861,0.016239682638503915
2,0,0.8983232081959855,0.9508334980997591
2,1,0.03598962151090235,0.005248275634418694
2,2,0.007626873908319851,0.0011977267061040388
2,3,0.004058323540266574,0.0006561894210254677
2,4,0.0026538759589858425,0.00043739834365157153
2,5,0.0019226778610743852,0.00032196640459622406
2,6,0.001481988940578043,0.0002520529619408927
2,7,0.0012051077759187717,0.00020649319122471895
2,8,0.0010144302970704767,0.00017403891016938162
2,9,0.0008465984923773265,0.00015028932676477858
2,10,0.0007524491537343837,0.00013237166711749747
2,11,0.000668712180207988,0.00011846842118717364
2,12,0.0005945313820506454,0.00010738547171754288
2,13,0.0005423854972010619,9.879871967519673e-05
2,14,0.0005062680572366205,9.092997443944082e-05
2,15,0.000463596915789946,8.553715005522373e-05
2,16,0.0004272584640167797,8.014448143901185e-05
2,17,0.0004117494195478315,7.583888597826631e-05
2,18,0.00039376325292506337,7.275921427958153e-05
2,19,0.0003669617845370904,6.972810672567769e-05
2,20,0.0003528895349996815,6.716910712663636e-05
2,21,0.0003406855615488394,6.521997893004079e-05
2,22,0.00033025915901090943,6.358772831331563e-05
2,23,0.00032152161016441396,6.230926864970849e-05
2,24,0.00031438620723224183,6.134032415130888e-05
