j,k,0,1
2,7,1.5467135662354066e-10,1.1560336806199493e-05
2,8,4.5086702713236633e-13,7.052381950145301e-07
2,9,1.3487415167263357e-15,4.0731485164753316e-08
2,10,4.2218139833494584e-18,2.3376252478194246e-09
2,11,1.3852664002629554e-20,1.3691933048583535e-10
2,12,4.073055447136636e-23,8.148297682271321e-12
2,13,0.0,4.879949316321672e-13
2,14,0.0,2.930365705825335e-14
2,15,0.0,1.7605252780088483e-15
2,16,0.0,1.0548518226294517e-16
2,17,0.0,6.268301653848648e-18
2,18,0.0,3.670604005888251e-19
2,19,0.0,2.106565984722517e-20
2,20,0.0,1.1777218062948174e-21
2,21,0.0,6.3732402763466e-23
2,22,0.0,3.316562762548654e-24
2,23,0.0,1.6468226095832316e-25
2,24,0.0,7.750828966585083e-27
2,25,0.0,3.423406923302533e-28
2,26,0.0,1.403296101141971e-29
2,27,0.0,5.32941339767756e-31
2,28,0.0,1.7888401777378454e-32
2,29,0.0,5.603040638168586e-34
2,30,0.0,1.4196091916876612e-35
2,31,0.0,3.383675820028656e-37
2,32,0.0,6.046357911764866e-39
2,33,0.0,8.129388017004913e-41
2,34,0.0,9.51205202857036e-43
2,35,0.0,5.4277772991047006e-45
2,36,0.0,0.0
2,37,0.0,0.0
2,38,0.0,0.0
2,39,0.0,0.0
2,40,0.0,0.0
2,41,0.0,0.0
2,42,0.0,0.0
2,43,0.0,0.0
2,44,0.0,0.0
2,45,0.0,0.0
2,46,0.0,0.0
2,47,0.0,0.0
2,48,0.0,0.0
2,49,0.0,0.0
2,50,1.852411786318073e-24,3.704813320085866e-24
3,0,3.262268438057068e-10,0.00021573849901651888
3,1,0.002738916149382016,0.037329570061618945
3,2,0.2191493032787259,0.2811945374288913
3,3,0.5704136045580415,0.40811150280611486
3,4,0.19136304221820666,0.20475751574748818
3,5,0.015754637165346908,0.05573153142192075
3,6,0.0005673961736770405,0.01076584062179998
3,7,1.2872592860626167e-05,0.0016403878577120887
3,8,2.2415644143708803e-07,0.00022192044774810188
3,9,3.3355573990007485e-09,2.7758028995818073e-05
3,10,4.495009299864663e-11,3.2782324838137543e-06
3,11,5.665466157946983e-13,3.726659366118408e-07
3,12,6.7902828527552914e-15,4.120798948340453e-08
3,13,7.814968243830867e-17,4.44868573480707e-09
3,14,8.642943728928593e-19,4.696812456895235e-10
3,15,9.188930620429097e-21,4.849314538063367e-11
3,16,8.495159067704825e-23,4.891241038486299e-12
3,17,0.0,4.809543771676938e-13
3,18,0.0,4.595553393166836e-14
3,19,0.0,4.252846759973093e-15
3,20,0.0,3.7959808305389577e-16
3,21,0.0,3.253166352351698e-17
3,22,0.0,2.6629286827966657e-18
3,23,0.0,2.071187922663414e-19
3,24,0.0,1.5198589443560492e-20
3,25,0.0,1.0463257378563444e-21
3,26,0.0,6.701461059052402e-23
3,27,0.0,3.9597133825878936e-24
3,28,0.0,2.137526770745608e-25
3,29,0.0,1.0432811664269875e-26
3,30,0.0,4.540151489184256e-28
3,31,0.0,1.738502606827895e-29
3,32,0.0,5.748320858355486e-31
3,33,0.0,1.5928384850923735e-32
3,34,0.0,3.6696183368411932e-34
3,35,0.0,6.647135807829377e-36
3,36,0.0,8.89301277761288e-38
3,37,0.0,8.152274115308492e-40
3,38,0.0,4.558809572773249e-42
3,39,0.0,1.142818170446854e-44
3,40,0.0,0.0
3,41,0.0,0.0
3,42,0.0,0.0
3,43,0.0,0.0
3,44,0.0,0.0
3,45,0.0,0.0
3,46,0.0,0.0
3,47,0.0,0.0
3,48,0.0,0.0
3,49,0.0,0.0
3,50,2.7786176794771095e-24,5.5572353586704584e-24
