j,k,0,1
1,36,2.0777818073422685e-15,1.8856453390090293e-09
1,37,6.344245982729288e-16,1.0312839886008786e-09
1,38,1.7885125116757243e-16,5.426022670012415e-10
1,39,4.583499749711423e-17,2.7247501688233116e-10
1,40,1.0468511140307198e-17,1.2925933645633042e-10
1,41,2.076499479134943e-18,5.715594922781228e-11
1,42,3.455113486720084e-19,2.313237267701672e-11
1,43,4.601388682015919e-20,8.354171708824628e-12
1,44,4.58038365605049e-21,2.594934504120895e-12
1,45,2.4834944715147966e-22,6.555555383013623e-13
1,46,0.0,1.2312474413003272e-13
1,47,0.0,1.4725750922372476e-14
1,48,0.0,8.368681016304756e-16
1,49,0.0,1.187302347207889e-17
1,50,6.800616990350257e-23,1.6260389235054832e-20
2,0,0.05238282572940246,0.1489482520910217
2,1,0.36628569644041425,0.36351443407782236
2,2,0.3185595972745898,0.22344135126171738
2,3,0.1490176650195022,0.11438324465973458
2,4,0.06350078505073511,0.061097676609247586
2,5,0.027329052919733858,0.03423398894392781
2,6,0.012131593037108318,0.020007802615146453
2,7,0.005567023651968213,0.012116688353884505
2,8,0.002634138077182779,0.007558867045921881
2,9,0.001280177298429873,0.0048336254966939215
2,10,0.0006366075658443303,0.0031556337653150606
2,11,0.0003228028404787897,0.002096259414583668
2,12,0.00016636688622944203,0.0014130166849618193
2,13,8.689249139396138e-05,0.0009642455097719733
2,14,4.588984199890799e-05,0.0006648178910200773
2,15,2.44444102029132e-05,0.0004623247703443354
2,16,1.3106892505218994e-05,0.0003237935060336626
2,17,7.059806661479229e-06,0.00022806455609136162
2,18,3.8135832919695824e-06,0.00016136619167743404
2,19,2.0621116228355054e-06,0.00011455517675209467
2,20,1.114296536184068e-06,8.150956807256653e-05
2,21,6.007996838858282e-07,5.807027960911859e-05
2,22,3.2254764681220266e-07,4.138055842433116e-05
2,23,1.722322862023493e-07,2.9466809714070372e-05
2,24,9.125252460760741e-08,2.0946171505147783e-05
2,25,4.790506100323268e-08,1.4848467480332538e-05
2,26,2.486362338430287e-08,1.0485664578958829e-05
2,27,1.2730856768537038e-08,7.367895326517132e-06
